Organisationsnr	Namn	PostAdress	PostNr	PostOrt	BesöksAdress	BesöksPostNr	BesöksPostOrt	Tfn	Fax	Epost	Webbadress	SFS
202100-5943	ALKOHOLSORTIMENTSNÄMNDEN	BOX 2218	103 15	STOCKHOLM				08-7000800	08-7000988		http://www.kammarkollegiet.se/kammarkollegiet/vi-arbetar-ocksa-med/naemndmyndigheter/alkoholsortimentsnaemnden	2007:1216
202100-3625	ALLMÄNNA REKLAMATIONSNÄMNDEN	BOX 174	101 23	STOCKHOLM	TEKNOLOGGATAN 8 C	113 60	STOCKHOLM	08-55501700	08-7831701	arn@arn.se	www.arn.se	2007:1041
202100-2114	ARBETSFÖRMEDLINGEN		113 99	STOCKHOLM	HÄLSINGEGATAN 38	113 43	STOCKHOLM	08-50880100	08-58606499	registrator@arbetsformedlingen.se	www.arbetsformedlingen.se	2007:1030
202100-3476	ARBETSGIVARVERKET	BOX 3267	103 65	STOCKHOLM	KUNGSGATAN 12-14	111 35	STOCKHOLM	08-7001300	08-7001340	agv@arbetsgivarverket.se	www.arbetsgivarverket.se	2007:829
202100-2148	ARBETSMILJÖVERKET (AV)		112 79	STOCKHOLM	LINDHAGENSGATAN 133	112 51	STOCKHOLM	08-7309000	08-7301967	arbetsmiljoverket@av.se	www.av.se	2007:913
202100-3427	ARKITEKTURMUSEET	SKEPPSHOLMEN	111 49	STOCKHOLM	EXERCISPLAN 4 SKEPPSHOLMEN	111 49	STOCKHOLM	08-58727000	08-58727070	info@arkitekturmusseet.se	www.arkitekturmuseet.se	2007:1194
202100-5950	ARVFONDSDELEGATIONEN	BOX 2218	103 15	STOCKHOLM				08-7000800	08-4053461	arvsfondsdelegationen@social.ministry.se	www.arvsfonden.se	2009:1512
202100-3690	BARNOMBUDSMANNEN	BOX 22106	104 22	STOCKHOLM	NORR MÄLARSTRAND 6	112 20	STOCKHOLM	08-6922950	08-6546277	bo@bo.se	www.bo.se	2007:1021
202100-4011	BLEKINGE TEKNISKA HÖGSKOLA		371 79	KARLSKRONA	VALHALLAVÄGEN 1	371 41	KARLSKRONA	0455-385000	0455-385057	registrator@bth.se	www.bth.se	1993:100
202100-3278	BOKFÖRINGSNÄMNDEN	BOX 7849	103 99	STOCKHOLM	BRUNNSGATAN 3	111 38	STOCKHOLM	08-7878028	08-219788	bfn@bfn.se	www.bfn.se	2007:783
202100-5489	BOLAGSVERKET		851 81	SUNDSVALL	STUVARVÄGEN 21	852 29	SUNDSVALL	060-184000	060-129840	bolagsverket@bolagsverket.se	www.bolagsverket.se	2007:1110
202100-3989	BOVERKET	BOX 534	371 23	KARLSKRONA	DROTTNINGGATAN 18	371 31	KARLSKRONA	0455-353000	0455-353100	registraturen@boverket.se	www.boverket.se	2009:1482
202100-0068	BROTTSFÖREBYGGANDE RÅDET	BOX 1386	111 93	STOCKHOLM	TEGNÉRGATAN 23	111 40	STOCKHOLM	08-4018700		info@bra.se	www.bra.se	2007:1170
202100-3435	BROTTSOFFERMYNDIGHETEN	BOX 470	901 09	UMEÅ	STORGATAN 49	903 26	UMEÅ	090-165710	090-178353	registrator@brottsoffermyndigheten.se	www.brottsoffermyndigheten.se	2007:1171
202100-5463	CENTRALA ETIKPRÖVNINGSNÄMNDEN	BOX 1035	101 38	STOCKHOLM	KLARABERGSVIADUKTEN 82	111 64	STOCKHOLM	08-54677610		kansli@cepn.se	www.epn.se	2007:1068
202100-1819	CENTRALA STUDIESTÖDSNÄMNDEN		851 82	SUNDSVALL	NORRA TJÄRNGATAN 2	852 37	SUNDSVALL	060-186000	060-186193	csn@csn.se	www.csn.se	2007:1071
202100-1298	DANS- OCH CIRKUSHÖGSKOLAN	BOX 27043	102 51	STOCKHOLM	BRINELLVÄGEN 58	114 28	STOCKHOLM	08-56227400	08-56227410	registrator@danshogskolan.se	www.danshogskolan.se	1993:100
202100-0050	DATAINSPEKTIONEN	BOX 8114	104 20	STOCKHOLM	DROTTNINGGATAN 29	111 51	STOCKHOLM	08-6576100	08-6528652	datainspektionen@datainspektionen.se	www.datainspektionen.se	2007:975
202100-6073	DISKRIMINERINGSOMBUDSMANNEN	BOX 3686	103 59	STOCKHOLM	TORSGATAN 11	111 23	STOCKHOLM	08-12020700		do@do.se	www.do.se	2008:1401
202100-6081	DOMARNÄMNDEN	BOX 2113	103 13	STOCKHOLM						domarnamnden@dom.se	http://www.domstol.se/templates/DV_InfoPage.aspx?id=10365	2008:427
202100-1306	DRAMATISKA INSTITUTET	BOX 27090	102 51	STOCKHOLM	VALHALLAVÄGEN 189	115 53	STOCKHOLM	08-55572000		info@draminst.se	www.dramatiskainstitutet.se	1993:100
202100-4979	EKOBROTTSMYNDIGHETEN	BOX 820	101 36	STOCKHOLM	HANTVERKARGATAN 15	112 21	STOCKHOLM	08-7620000	08-6134019	huvudregistrator@ekobrottsmyndigheten.se	www.ekobrottsmyndigheten.se	2007:972
202100-5026	EKONOMISTYRNINGSVERKET	BOX 45316	104 30	STOCKHOLM	DROTTNINGGATAN 89	113 60	STOCKHOLM	08-6904300	08-6904350	registrator@esv.se	www.esv.se	2007:761
202100-4466	ELSÄKERHETSVERKET	BOX 4	681 21	KRISTINEHAMN	SÖDRA TORGET 3	681 31	KRISTINEHAMN	0550-85100	0550-85101	registrator@elsakerhetsverket.se	www.elsakerhetsverket.se	2007:1121
202100-5695	ENERGIMARKNADSINSPEKTIONEN	BOX 155	631 03	ESKILSTUNA	KUNGSGATAN 43	632 20	ESKILSTUNA	016-162700		registrator@ei.se	www.energimarknadsinspektionen.se	2007:1118
202100-2098	EXPORTKREDITNÄMNDEN	BOX 3064	103 61	STOCKHOLM	KUNGSGATAN 36	111 35	STOCKHOLM	08-7880000	08-4118149	info@ekn.se	www.ekn.se	2007:1217
202100-4870	FASTIGHETSMÄKLARNÄMNDEN	BOX 17174	104 62	STOCKHOLM	SANKT PAULSGATAN 6	118 46	STOCKHOLM	08-55552460	08-55552461	registrator@fastighetsmaklarnamnden.se	www.fastighetsmaklarnamnden.se	2009:606
202100-0043	FIDEIKOMMISSNÄMNDEN	BOX 2218	103 15	STOCKHOLM				08-238640		registratur@kammarkollegiet.se	http://www.kammarkollegiet.se/kammarkollegiet/vi-arbetar-ocksa-med/naemndmyndigheter/fideikommissnaemnden	2007:1074
202100-4235	FINANSINSPEKTIONEN	BOX 7821	103 97	STOCKHOLM	BRUNNSGATAN 3	111 38	STOCKHOLM	08-7878000	08-241335	finansinspektionen@fi.se	www.fi.se	2009:93
202100-5687	FINANSPOLITISKA RÅDET	BOX 3273	103 65	STOCKHOLM	KUNGSGATAN 12-14	111 35	STOCKHOLM	08-4535990		info@finanspolitiskaradet.se	www.finanspolitiskaradet.se	2007:760
202100-1843	FISKERIVERKET	BOX 423	401 26	GÖTEBORG	EKELUNDSGATAN 1	411 18	GÖTEBORG	031-7430300	031-7430444	fiskeriverket@fiskeriverket.se	www.fiskeriverket.se	2007:1045
202100-5380	FOLKE BERNADOTTEAKADEMIN	SANDÖVÄGEN 1	872 64	SANDÖVERKEN	SANDÖVÄGEN 1	872 64	SANDÖVERKEN	0612-82200	0612-82021	info@folkebernadotteacademy.se	www.folkebernadotteacademy.se	2007:1218
202100-5893	FORSKARSKATTENÄMNDEN	BRUNNSGRÄND 4	111 30	STOCKHOLM				08-7647957	08-210619	kansliet@skatterattsnamnden.se	www.forskarskattenamnden.se	2007:786
202100-5232	FORSKNINGSRÅDET F MILJÖ ARELLA NÄRINGAR OCH SAMH	BOX 1206	111 82	STOCKHOLM	KUNGSBRON 21	111 22	STOCKHOLM	08-7754000	08-7754010	info@formas.se	www.formas.se	2009:1024
202100-5240	FORSKNINGSRÅDET FÖR ARBETSLIV OCH SOCIALVETENSKAP	BOX 2220	103 15	STOCKHOLM	WALLINGATAN 2	111 60	STOCKHOLM	08-7754070	08-7754075	fas@fas.se	www.fas.se	2007:1431
202100-4607	FORTIFIKATIONSVERKET		631 89	ESKILSTUNA	KUNGSGATAN 43	632 20	ESKILSTUNA	010-4444000	016-133702	fortv@fortv.se	www.fortv.se	2007:758
